No.,Time,Source,Destination,Protocol,Length,Info
1,0.000000,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
2,2.457669,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
3,5.196244,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
4,7.544762,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
5,11.072146,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
6,15.558189,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
7,19.973981,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
8,21.818599,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
9,25.765834,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
10,27.874278,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
11,31.575143,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
12,35.689422,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
13,38.816221,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
14,39.682154,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
15,42.983827,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
16,46.410321,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
17,49.982278,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
18,52.409950,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
19,55.272133,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
20,57.971700,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
21,61.738515,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
22,65.042237,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
23,67.715210,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
24,70.530212,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
25,73.070955,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
26,75.489662,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
27,80.270667,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
28,82.919256,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
29,85.506043,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
30,88.180680,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
31,89.932676,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
32,93.651374,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
33,96.535998,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
34,99.850194,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
35,102.932196,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
36,106.131772,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
37,107.795482,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
38,110.661569,127.0.0.1,127.0.0.1,UDP,56,65310→13337Len=24
